section,in_resume,title,institution,loc,start,end,description_1,description_2,description_3
education,TRUE,"MFA, Creative Writing",University of Michigan,"Ann Arbor, Michigan",2004,2006,Fictional,NA,NA
education,TRUE,"B.A., English",Ohio State University,"Columbus, OH",2000,2004,Fictional,NA,NA
industry_positions,TRUE,Quarterback,New England Patriots,"Foxborough, MA",2024,2028,Won the Super Bowl,NA,NA
industry_positions,TRUE,Defenseman,Seattle Kraken,"Seattle, WA",2024,2027,Won the Stanley Cup,NA,NA
industry_positions,TRUE,Wide Receiver,Dallas Cowboys,"Frisco, TX",2023,2026,Won the Super Bowl,NA,NA
industry_positions,TRUE,Shooting Guard,Chicago Bulls,"Chicago, IL",2023,2026,Won the NBA Championship,NA,NA
industry_positions,TRUE,Striker,Inter Miami CF,"Fort Lauderdale, FL",2022,2025,Won MLS Cup,NA,NA
industry_positions,TRUE,Relief Pitcher,San Diego Padres,"San Diego, CA",2022,2025,Won the World Series,NA,NA
industry_positions,TRUE,Tight End,Kansas City Chiefs,"Kansas City, MO",2021,2025,Won the Super Bowl,NA,NA
industry_positions,TRUE,Center,Boston Bruins,"Boston, MA",2021,2025,Won the Stanley Cup,NA,NA
industry_positions,TRUE,First Baseman,Atlanta Braves,"Atlanta, GA",2020,2025,Won the World Series,NA,NA
industry_positions,TRUE,Small Forward,Golden State Warriors,"San Francisco, CA",2020,2025,Won the NBA Championship,NA,NA
industry_positions,TRUE,Center Fielder,Los Angeles Angels,"Anaheim, CA",2019,2024,Won the World Series,NA,NA
industry_positions,TRUE,Goaltender,Vegas Golden Knights,"Las Vegas, NV",2019,2025,Won the Stanley Cup,NA,NA
by_me_press,TRUE,Greatest Athlete of All Time,The New York Times,NA,2026,2026,New York Times Best Seller,NA,NA
